Day,Hour Of Day,widget_id,Unique visits,Conversions
13.3.2024,19:00 - 19:59,280855,1,0
14.3.2024,09:00 - 09:59,280855,1,0
14.3.2024,19:00 - 19:59,280854,2,0
14.3.2024,20:00 - 20:59,280854,1,0
12.3.2024,18:00 - 18:59,280793,1,0
13.3.2024,09:00 - 09:59,280793,1,0
13.3.2024,19:00 - 19:59,280793,1,0
14.3.2024,12:00 - 12:59,280793,1,0
14.3.2024,16:00 - 16:59,280793,8,0
14.3.2024,17:00 - 17:59,280793,5,0
14.3.2024,18:00 - 18:59,280793,3,0
12.3.2024,11:00 - 11:59,280792,1,0
14.3.2024,20:00 - 20:59,280792,3,0
14.3.2024,21:00 - 21:59,280792,1,0
14.3.2024,22:00 - 22:59,280792,3,0
14.3.2024,23:00 - 23:59,280792,2,0
15.3.2024,14:00 - 14:59,280792,1,0
15.3.2024,17:00 - 17:59,280792,5,0
15.3.2024,20:00 - 20:59,280792,1,0
15.3.2024,21:00 - 21:59,280792,1,0
16.3.2024,00:00 - 00:59,280792,1,0
16.3.2024,21:00 - 21:59,280792,1,0
17.3.2024,19:00 - 19:59,280792,1,0
17.3.2024,23:00 - 23:59,280792,1,0
13.3.2024,13:00 - 13:59,280727,1,0
13.3.2024,15:00 - 15:59,280727,1,0
13.3.2024,17:00 - 17:59,280727,1,0
13.3.2024,20:00 - 20:59,280727,1,0
15.3.2024,16:00 - 16:59,280727,1,0
15.3.2024,20:00 - 20:59,280727,1,0
16.3.2024,00:00 - 00:59,280727,1,0
13.3.2024,09:00 - 09:59,280726,1,0
13.3.2024,10:00 - 10:59,280726,1,0
13.3.2024,11:00 - 11:59,280726,1,0
13.3.2024,12:00 - 12:59,280726,2,0
13.3.2024,19:00 - 19:59,280726,1,0
14.3.2024,08:00 - 08:59,280726,1,0
14.3.2024,09:00 - 09:59,280726,1,0
14.3.2024,15:00 - 15:59,280726,1,0
14.3.2024,16:00 - 16:59,280726,2,0
14.3.2024,18:00 - 18:59,280726,1,0
15.3.2024,13:00 - 13:59,280726,1,0
15.3.2024,17:00 - 17:59,280726,1,0
15.3.2024,19:00 - 19:59,280726,1,0
13.3.2024,21:00 - 21:59,280725,1,0
14.3.2024,12:00 - 12:59,280725,1,0
14.3.2024,15:00 - 15:59,280725,1,0
14.3.2024,16:00 - 16:59,280725,1,0
15.3.2024,15:00 - 15:59,280725,1,0
16.3.2024,00:00 - 00:59,280725,1,0
16.3.2024,20:00 - 20:59,280725,1,0
13.3.2024,20:00 - 20:59,280724,1,0
15.3.2024,17:00 - 17:59,280724,1,0
5.3.2024,19:00 - 19:59,280685,1,0
6.3.2024,19:00 - 19:59,280685,21,0
14.3.2024,09:00 - 09:59,280685,1,0
16.3.2024,21:00 - 21:59,280685,1,0
17.3.2024,13:00 - 13:59,280685,1,0
17.3.2024,15:00 - 15:59,280685,1,0
7.3.2024,17:00 - 17:59,280684,1,0
11.3.2024,20:00 - 20:59,280684,1,0
16.3.2024,13:00 - 13:59,280684,1,0
16.3.2024,19:00 - 19:59,280684,1,0
1.3.2024,20:00 - 20:59,280676,1,0
1.3.2024,22:00 - 22:59,280676,1,0
14.3.2024,16:00 - 16:59,280676,1,0
15.3.2024,16:00 - 16:59,280676,1,0
11.3.2024,19:00 - 19:59,280675,2,0
13.3.2024,18:00 - 18:59,280675,2,0
14.3.2024,00:00 - 00:59,280675,1,0
14.3.2024,19:00 - 19:59,280675,1,0
14.3.2024,20:00 - 20:59,280675,1,0
14.3.2024,22:00 - 22:59,280675,2,0
14.3.2024,23:00 - 23:59,280675,1,0
15.3.2024,16:00 - 16:59,280675,3,0
4.3.2024,22:00 - 22:59,280672,1,0
5.3.2024,20:00 - 20:59,280672,1,0
5.3.2024,21:00 - 21:59,280672,2,0
6.3.2024,01:00 - 01:59,280672,1,0
6.3.2024,09:00 - 09:59,280672,1,0
6.3.2024,22:00 - 22:59,280672,1,0
14.3.2024,23:00 - 23:59,280672,7,0
10.3.2024,21:00 - 21:59,280665,1,0
11.3.2024,06:00 - 06:59,280665,1,0
13.3.2024,18:00 - 18:59,280665,1,0
13.3.2024,21:00 - 21:59,280665,1,0
14.3.2024,10:00 - 10:59,280665,1,0
14.3.2024,11:00 - 11:59,280665,1,0
14.3.2024,14:00 - 14:59,280665,1,0
14.3.2024,16:00 - 16:59,280665,1,0
14.3.2024,18:00 - 18:59,280665,1,0
14.3.2024,19:00 - 19:59,280665,1,0
14.3.2024,23:00 - 23:59,280665,1,0
16.3.2024,14:00 - 14:59,280665,1,0
16.3.2024,18:00 - 18:59,280665,1,0
16.3.2024,19:00 - 19:59,280665,1,0
17.3.2024,20:00 - 20:59,280665,1,0
13.3.2024,10:00 - 10:59,280664,2,0
13.3.2024,11:00 - 11:59,280664,2,0
13.3.2024,13:00 - 13:59,280664,1,0
13.3.2024,19:00 - 19:59,280664,1,0
13.3.2024,20:00 - 20:59,280664,1,0
13.3.2024,21:00 - 21:59,280664,1,0
14.3.2024,14:00 - 14:59,280664,1,0
14.3.2024,15:00 - 15:59,280664,1,0
14.3.2024,18:00 - 18:59,280664,1,0
15.3.2024,22:00 - 22:59,280664,1,0
16.3.2024,00:00 - 00:59,280664,1,0
16.3.2024,15:00 - 15:59,280664,1,0
16.3.2024,16:00 - 16:59,280664,1,0
16.3.2024,17:00 - 17:59,280664,1,0
17.3.2024,12:00 - 12:59,280664,1,0
17.3.2024,20:00 - 20:59,280664,1,0
3.3.2024,21:00 - 21:59,280663,1,0
4.3.2024,20:00 - 20:59,280663,1,0
4.3.2024,22:00 - 22:59,280663,1,0
4.3.2024,23:00 - 23:59,280663,1,0
5.3.2024,19:00 - 19:59,280663,1,0
6.3.2024,04:00 - 04:59,280663,1,0
6.3.2024,12:00 - 12:59,280663,1,0
6.3.2024,22:00 - 22:59,280663,2,0
8.3.2024,01:00 - 01:59,280663,1,0
9.3.2024,16:00 - 16:59,280663,1,0
9.3.2024,19:00 - 19:59,280663,1,0
13.3.2024,13:00 - 13:59,280663,1,0
13.3.2024,15:00 - 15:59,280663,1,0
13.3.2024,20:00 - 20:59,280663,1,0
14.3.2024,17:00 - 17:59,280663,1,0
14.3.2024,18:00 - 18:59,280663,1,0
14.3.2024,19:00 - 19:59,280663,1,0
14.3.2024,21:00 - 21:59,280663,2,0
14.3.2024,22:00 - 22:59,280663,1,0
15.3.2024,12:00 - 12:59,280663,2,0
15.3.2024,13:00 - 13:59,280663,1,0
16.3.2024,09:00 - 09:59,280663,1,0
17.3.2024,15:00 - 15:59,280663,1,0
5.3.2024,01:00 - 01:59,280662,2,0
5.3.2024,07:00 - 07:59,280662,1,0
5.3.2024,13:00 - 13:59,280662,1,0
5.3.2024,20:00 - 20:59,280662,1,0
6.3.2024,21:00 - 21:59,280662,2,0
6.3.2024,22:00 - 22:59,280662,1,0
9.3.2024,06:00 - 06:59,280662,1,0
13.3.2024,10:00 - 10:59,280662,1,0
13.3.2024,17:00 - 17:59,280662,1,0
13.3.2024,21:00 - 21:59,280662,2,0
14.3.2024,10:00 - 10:59,280662,1,0
14.3.2024,14:00 - 14:59,280662,2,0
14.3.2024,17:00 - 17:59,280662,1,0
14.3.2024,18:00 - 18:59,280662,1,0
14.3.2024,21:00 - 21:59,280662,1,0
14.3.2024,23:00 - 23:59,280662,2,0
15.3.2024,12:00 - 12:59,280662,1,0
15.3.2024,13:00 - 13:59,280662,1,0
15.3.2024,14:00 - 14:59,280662,2,0
15.3.2024,15:00 - 15:59,280662,1,0
15.3.2024,18:00 - 18:59,280662,1,0
15.3.2024,20:00 - 20:59,280662,1,0
15.3.2024,21:00 - 21:59,280662,2,0
16.3.2024,13:00 - 13:59,280662,1,0
16.3.2024,14:00 - 14:59,280662,2,0
16.3.2024,22:00 - 22:59,280662,1,0
17.3.2024,13:00 - 13:59,280662,1,0
17.3.2024,14:00 - 14:59,280662,1,0
1.3.2024,14:00 - 14:59,280652,1,0
1.3.2024,20:00 - 20:59,280652,2,0
1.3.2024,23:00 - 23:59,280652,1,0
2.3.2024,10:00 - 10:59,280652,1,0
