Day,widget_id,Hour Of Day,Visits,Conversions
27.3.2024,86251,10:00 - 10:59,2,0
25.3.2024,86251,10:00 - 10:59,1,0
25.3.2024,86251,10:00 - 10:59,1,0
2.4.2024,86250,07:00 - 07:59,1,0
1.4.2024,31554,11:00 - 11:59,1,0
15.4.2024,280429,14:00 - 14:59,1,0
9.4.2024,280250,14:00 - 14:59,1,0
2.4.2024,279979,18:00 - 18:59,1,0
1.4.2024,279978,18:00 - 18:59,2,0
15.4.2024,279947,10:00 - 10:59,2,0
5.4.2024,279914,12:00 - 12:59,1,0
12.4.2024,279892,16:00 - 16:59,1,0
1.4.2024,279892,17:00 - 17:59,1,0
1.4.2024,279811,11:00 - 11:59,1,0
13.4.2024,279650,10:00 - 10:59,1,0
26.3.2024,278749,09:00 - 09:59,1,0
11.4.2024,278702,14:00 - 14:59,8,0
11.4.2024,278702,11:00 - 11:59,1,0
1.4.2024,278701,12:00 - 12:59,1,0
25.3.2024,278701,11:00 - 11:59,1,0
28.3.2024,278569,12:00 - 12:59,1,0
1.4.2024,277705,14:00 - 14:59,1,0
25.3.2024,277698,11:00 - 11:59,2,0
2.4.2024,277693,15:00 - 15:59,2,0
9.4.2024,277693,15:00 - 15:59,1,0
12.4.2024,277585,15:00 - 15:59,1,0
28.3.2024,277567,12:00 - 12:59,1,0
1.4.2024,277562,13:00 - 13:59,1,0
12.4.2024,276997,18:00 - 18:59,1,0
1.4.2024,276997,09:00 - 09:59,1,0
22.3.2024,276389,11:00 - 11:59,1,0
11.4.2024,276142,14:00 - 14:59,1,0
11.4.2024,275866,16:00 - 16:59,2,0
14.4.2024,275615,09:00 - 09:59,2,0
26.3.2024,275467,12:00 - 12:59,1,0
28.3.2024,275180,09:00 - 09:59,1,0
4.4.2024,275165,11:00 - 11:59,1,0
1.4.2024,275152,07:00 - 07:59,1,0
2.4.2024,273506,09:00 - 09:59,1,0
3.4.2024,273388,09:00 - 09:59,1,0
1.4.2024,273111,10:00 - 10:59,1,0
25.3.2024,272784,12:00 - 12:59,1,0
2.4.2024,272783,09:00 - 09:59,1,0
28.3.2024,272783,12:00 - 12:59,1,0
4.4.2024,272783,11:00 - 11:59,1,0
2.4.2024,271487,08:00 - 08:59,1,0
2.4.2024,271118,07:00 - 07:59,1,0
8.4.2024,271097,14:00 - 14:59,2,0
24.3.2024,271097,12:00 - 12:59,1,0
2.4.2024,268430,17:00 - 17:59,1,0
1.4.2024,268340,15:00 - 15:59,1,0
2.4.2024,267497,12:00 - 12:59,1,0
3.4.2024,249686,11:00 - 11:59,1,0
8.4.2024,248039,20:00 - 20:59,8,0
8.4.2024,248039,13:00 - 13:59,1,0
2.4.2024,216675,12:00 - 12:59,1,0
15.4.2024,174861,11:00 - 11:59,1,0
15.4.2024,174729,20:00 - 20:59,1,0
1.4.2024,174258,17:00 - 17:59,1,0
1.4.2024,174258,17:00 - 17:59,1,0
1.4.2024,174258,17:00 - 17:59,1,0
1.4.2024,174258,17:00 - 17:59,1,0
11.4.2024,167051,13:00 - 13:59,1,0
26.3.2024,141271,11:00 - 11:59,1,0
13.4.2024,133708,19:00 - 19:59,2,0
14.4.2024,133708,12:00 - 12:59,2,0
15.4.2024,133708,14:00 - 14:59,1,0
15.4.2024,118428,11:00 - 11:59,1,0
11.4.2024,113489,10:00 - 10:59,2,0
1.4.2024,110322,16:00 - 16:59,1,0
14.4.2024,281333,17:00 - 17:59,1,0
15.4.2024,281333,13:00 - 13:59,1,0
15.4.2024,281333,15:00 - 15:59,1,0
15.4.2024,281333,16:00 - 16:59,1,0
